fileName	randomFlag	blindingFlag	sampleFlag
0182462278\Wang-2014-Upregulated expressi	FALSE	TRUE	FALSE
0184618242\Ma-2015-Inhibition of adenos	TRUE	TRUE	FALSE
0195227009\Shah-2016-Identification of pr	TRUE	FALSE	FALSE
0195836395\Hernandez-Jimenez-2016-Seladin-1_DHCR24 Is	TRUE	TRUE	FALSE
0198113665\Du-2014-Comparison of admini	TRUE	TRUE	FALSE
0199236779\Spescha-2015-Post-ischaemic silen	TRUE	TRUE	FALSE
0199303313\Huang-2014-Electroacupuncture p	TRUE	FALSE	FALSE
0201992847\Bai-2014-Protective effect of	TRUE	TRUE	FALSE
0207782043\Herz-2015-Role of Neutrophils	TRUE	TRUE	FALSE
0224628086\Chen-2015-Improved infrared-se	TRUE	TRUE	FALSE
0226352958\Pires-2014-Tumor necrosis facto	TRUE	TRUE	FALSE
0231827079\Tan-2014-Combination treatmen	TRUE	TRUE	FALSE
0242325272\Nakano-2014-Glycoprotein nonmeta	TRUE	TRUE	FALSE
0243059335\Xu-2015-The effects of fluda	FALSE	TRUE	FALSE
0246590478\Li-2015-Blood-brain barrier	FALSE	TRUE	FALSE
0247329408\Loh-2014-TRPM4 inhibition pro	TRUE	FALSE	FALSE
0248794256\Khan-2015-Selective estrogen r	TRUE	TRUE	FALSE
0265154685\Qin-2014-Exogenous fractalkin	FALSE	FALSE	FALSE
0270014209\Yang-2015-Beneficial effect of	TRUE	TRUE	FALSE
0270599258\Ding-2014-Opposite effects of	FALSE	TRUE	FALSE
0274689463\Jalin-2015-Non-Selective Cannab	TRUE	TRUE	FALSE
0280600573\Liu-2015-Increasing the Perme	FALSE	FALSE	FALSE
0280955148\Pin-Barre-2014-Acute neuromuscular	TRUE	TRUE	FALSE
0289532503\Zhao-2015-Electroacupuncture P	TRUE	TRUE	FALSE
0289935795\Shabanzadeh-2015-Uncoupling Neogenin	TRUE	TRUE	FALSE
0291759868\Yan-2014-HUCBCs increase angi	TRUE	TRUE	FALSE
0294184215\D'Orsi-2015-Bax regulates neuron	FALSE	FALSE	FALSE
0296444404\Li-2014-Sevoflurane postcond	TRUE	FALSE	FALSE
0300689221\Choi-2015-Synthesis and Evalua	TRUE	FALSE	FALSE
0301127724\Amantea-2016-Azithromycin protect	FALSE	TRUE	FALSE
0302983310\Zhou-2015-Tanshinone IIA atten	TRUE	FALSE	FALSE
0308256797\Xu-2014-Effects of acupunctu	TRUE	TRUE	FALSE
0315877148\Zhao-2014-Paeonol pretreatment	TRUE	TRUE	FALSE
0319342584\Yildirim-2014-Histone acetylation	FALSE	TRUE	FALSE
0322955487\Lambertsen-2014-No effect of ablatio	TRUE	FALSE	FALSE
0330508226\Justin-2014-Non-hypotensive dose	FALSE	FALSE	FALSE
0334490681\Tang-2015-The Effect of Pre-Co	TRUE	TRUE	FALSE
0335477684\Pirzad Jahromi-2015-Multipotent bone mar	TRUE	TRUE	FALSE
0336287672\Wang-2016-Bone Fracture Pre-Is	TRUE	TRUE	FALSE
0352536965\Singh-2014-A comparative study	FALSE	TRUE	FALSE
0352636182\Yukami-2015-Chronic Elevation of	FALSE	TRUE	FALSE
0371237844\Peng-2015-Mitofusin 2 ameliora	TRUE	TRUE	FALSE
0373314388\Hermann-2015-Sustained neurologic	TRUE	TRUE	FALSE
0373815214\Knapp-2015-Neuroprotective effe	TRUE	TRUE	FALSE
0377411020\Qian-2015-Maslinic acid promot	TRUE	FALSE	FALSE
0378927303\Mohammad-Gharibani-2014-Mode of action of S-	TRUE	TRUE	FALSE
0382744787\Titova-2014-The late phase of po	FALSE	TRUE	FALSE
0387935796\Lai-2015-Salidroside-Mediated	TRUE	TRUE	FALSE
0392829499\Mohammadi-2015-Nitric oxide as a re	FALSE	FALSE	FALSE
0404712701\Zhang-2014-Neuroprotective effe	FALSE	TRUE	FALSE
0415820248\Jia-2015-Peptidic exenatide a	FALSE	TRUE	FALSE
0418362315\Lartey-2014-The relationship bet	TRUE	FALSE	FALSE
0423738997\Liang-2014-Follistatin-like 1 a	FALSE	TRUE	FALSE
0425564458\Shevtsov-2014-Neurotherapeutic act	TRUE	FALSE	FALSE
0429686067\Zhou-2015-Human adipose-derive	TRUE	TRUE	FALSE
0429705207\Song-2015-PKA Inhibitor H89 (N	TRUE	TRUE	FALSE
0436877225\Allahtavakoli-2015-Ascorbic Acid Reduce	TRUE	TRUE	FALSE
0440127739\Culp-2015-Dodecafluoropentane	TRUE	TRUE	FALSE
0442307682\Yaidikar-2015-Punicalagin attenuat	TRUE	TRUE	FALSE
0449613877\Kim-2014-PSA-NCAM(+) neural p	TRUE	TRUE	FALSE
0457869961\Chen-2014-Repetitive hyperbari	TRUE	TRUE	FALSE
0460432153\Jie-2015-Activation of transi	FALSE	FALSE	FALSE
0462123329\Yang-2012-Pre-ischemic treadmi	TRUE	FALSE	FALSE
0463585463\Nam-2015-Effects of Mesenchym	TRUE	TRUE	FALSE
0464957007\Mitkari-2015-Unexpected complicat	FALSE	TRUE	FALSE
0469573699\Guo-2015-Silencing of Id2 att	TRUE	TRUE	FALSE
0485161065\Li-2015-CXCL12 Gene Therapy	TRUE	TRUE	FALSE
0486443565\Sun-2014-Gradually increased	TRUE	TRUE	FALSE
0492170235\Zhang-2014-IL-17A contributes t	TRUE	TRUE	FALSE
0494200976\Chelluboina-2014-Temporal regulation	TRUE	TRUE	FALSE
0494397398\Tao-2015-Dioscin ameliorates	TRUE	TRUE	FALSE
0495253780\Atochin-2016-A novel dual NO-dona	FALSE	FALSE	FALSE
0502983613\Van Slooten-2015-L-NIO as a novel mec	FALSE	TRUE	FALSE
0504882315\Hao-2015-Triptolide Protects	TRUE	TRUE	FALSE
0505790755\Chen-2015-Peroxynitrite Decomp	TRUE	TRUE	FALSE
0513184280\Jiang-2014-Role of nitric oxide	FALSE	FALSE	FALSE
0513933942\Chelluboina-2014-Stem cell treatment	TRUE	TRUE	FALSE
0514468029\Zhang-2013-Neuroprotective effe	TRUE	FALSE	FALSE
0515152139\Liang-2014-Role of mitochondria	TRUE	TRUE	FALSE
0523309538\Joshi-2015-Deficiency of Factor	FALSE	TRUE	FALSE
0523363373\Fonteles-2016-Rosmarinic acid prev	TRUE	TRUE	FALSE
0535223003\Lay-2014-Complete protection	TRUE	TRUE	FALSE
0548098215\Yang-2014-Piperlonguminine is	TRUE	TRUE	FALSE
0551266187\Cho-2015-Statins Promote Long	FALSE	FALSE	FALSE
0561106369\Tang-2014-Role of NADPH oxidas	TRUE	FALSE	FALSE
0565652238\Yang-2014-Neuroprotective effe	TRUE	TRUE	FALSE
0576763638\Hoffmann-2015-Vascular signal tran	TRUE	TRUE	FALSE
0585946930\Ahn-2015-Effects of agmatine	FALSE	TRUE	FALSE
0587200087\Xu-2015-Acupuncture improves	TRUE	FALSE	FALSE
0587291925\Wang-2015-Picroside II Inhibit	TRUE	FALSE	FALSE
0591560750\Mitchell-2016-Is Remodelling of Co	TRUE	TRUE	FALSE
0595218239\Nik Ramli-2015-Preconditioning effe	TRUE	FALSE	FALSE
0613184775\Kim-2015-Enhancing neurogenes	TRUE	FALSE	FALSE
0614103480\Kim-2015-Targeting CD36-media	TRUE	FALSE	FALSE
0615306327\Wu-2015-Comparison of intrac	FALSE	TRUE	FALSE
0624498948\Yang-2014-Expression of 2',3'-	FALSE	FALSE	FALSE
0627537596\Sun-2015-A new middle cerebra	FALSE	TRUE	FALSE
0627601899\Garbuzova-Davis-2014-Compromised blood-br	TRUE	TRUE	FALSE
0632018723\Cui-2016-D-4F Decreases White	TRUE	TRUE	FALSE
0636968821\Wang-2015-Lipocalin-2 released	FALSE	FALSE	FALSE
0638995414\Ozkan-2015-Neuroprotective effe	FALSE	TRUE	FALSE
0642559380\Inacio-2015-Endogenous IFN-beta	TRUE	TRUE	FALSE
0643105774\Wattananit-2016-Monocyte-Derived Mac	TRUE	TRUE	FALSE
0647887218\Jiang-2014-Neuroprotective effe	TRUE	TRUE	FALSE
0651437082\Lin-2015-Post-injury administ	FALSE	TRUE	FALSE
0657539558\Fang-2015-Attenuated Blood-Bra	TRUE	FALSE	FALSE
0660333957\Liu-2014-Inhibition of mitoge	TRUE	TRUE	FALSE
0667900393\Dzamba-2015-Quantitative Analysi	FALSE	FALSE	FALSE
0668080651\Bu-2014-w007B protects brain	TRUE	FALSE	FALSE
0684364781\Stary-2015-MicroRNA-200c contri	TRUE	TRUE	FALSE
0688219985\Jiang-2015-miR-210 mediates vag	TRUE	TRUE	FALSE
0688262324\Quittet-2015-Effects of mesenchym	TRUE	TRUE	FALSE
0688626196\Shin-2015-Estrogen receptor-me	TRUE	FALSE	FALSE
0695974886\Qian-2015-A combination of neo	TRUE	TRUE	FALSE
0700058696\Zhao-2015-Treatment with recom	TRUE	FALSE	FALSE
0702594583\Cao-2015-Hyperlipidemia exace	FALSE	FALSE	FALSE
0706251964\Li-2015-Remote ischemic post	TRUE	TRUE	FALSE
0710472461\Taheri-2014-Isoflurane reduces t	TRUE	TRUE	FALSE
0711939010\Nakamura-2016-Possible involvement	FALSE	FALSE	FALSE
0712568208\Huang-2014-Neuroprotective effe	TRUE	FALSE	FALSE
0715920248\Wen-2015-Acetylbritannilacton	TRUE	TRUE	FALSE
0724507789\Zhang-2015-Protective effects o	TRUE	TRUE	FALSE
0725768105\Yu-2014-An active component	FALSE	TRUE	FALSE
0732819534\Jing-2014-Neuronal NAMPT is re	FALSE	TRUE	FALSE
0735855407\Yang-2015-L-3-n-butylphthalide	TRUE	TRUE	FALSE
0742595848\Ding-2014-MRI evaluation of BB	TRUE	TRUE	FALSE
0744686043\Lourbopoulos-2014-Changes in thyroid h	TRUE	FALSE	FALSE
0753531734\Li-2014-Electroacupuncture i	TRUE	FALSE	FALSE
0754932403\Darsalia-2014-Exendin-4 reduces is	FALSE	FALSE	FALSE
0756298443\Yamashita-2014-Strong improvement o	FALSE	FALSE	FALSE
0761781860\Kong-2015-Retinoic acid amelio	TRUE	TRUE	FALSE
0764855858\Koronowski-2015-Resveratrol Precondi	TRUE	TRUE	FALSE
0774920402\Zhu-2015-Gua Lou Gui Zhi deco	TRUE	TRUE	FALSE
0776226503\Liu-2015-Activation of the Nr	TRUE	TRUE	FALSE
0785620849\Qian-2016-Precise Characteriza	TRUE	TRUE	FALSE
0787155618\Shang-2015-Upregulation of neur	TRUE	FALSE	FALSE
0790518062\Srinivasan-2012-Edaravone offers neu	TRUE	FALSE	FALSE
0793101969\Tulsulkar-2016-Obesity and hypergly	TRUE	TRUE	FALSE
0796034724\Min-2014-Direct stimulation o	TRUE	TRUE	FALSE
0799235379\Cai-2015-TGF-beta1 prevents b	TRUE	TRUE	FALSE
0800417431\Yao-2015-Reduced brain edema	FALSE	TRUE	FALSE
0808990228\Ni-2015-MicroRNA let-7c-5p p	FALSE	FALSE	FALSE
0809131018\Cheng-2014-Electroacupuncture-l	TRUE	FALSE	FALSE
0817345561\Jin-2015-Brain protection aga	TRUE	TRUE	FALSE
0822924342\Jia-2015-Involvement of the p	TRUE	TRUE	FALSE
0823516679\Sun-2014-Enhanced oral absorp	TRUE	TRUE	FALSE
0835809788\Venna-2014-Social interaction p	TRUE	TRUE	FALSE
0837685200\Zhang-2015-Spatiotemporal PET I	TRUE	TRUE	FALSE
0845640405\Hochrainer-2015-SUMO2_3 is associate	TRUE	TRUE	FALSE
0846823829\Pan-2014-Novel humanized reco	TRUE	TRUE	FALSE
0853452122\Sun-2014-L-serine treatment m	TRUE	TRUE	FALSE
0869677204\Park-2015-Preischemic neuropro	TRUE	TRUE	FALSE
0872521912\Caltana-2015-Cannabinoid receptor	TRUE	FALSE	FALSE
0875242460\Tong-2015-The Role of SUMO-Con	TRUE	TRUE	FALSE
0875327246\Li-2016-Protection against E	TRUE	TRUE	FALSE
0875733800\Luo-2014-Interaction of nNOS	TRUE	TRUE	FALSE
0877226152\Eady-2013-Acute treatment with	TRUE	TRUE	FALSE
0878363010\Shmonin-2014-Characteristics of c	TRUE	TRUE	FALSE
0882358008\Zhang-2015-Administration of hu	TRUE	TRUE	FALSE
0885784849\Rodriguez-2014-Methylene blue treat	TRUE	TRUE	FALSE
0892429569\Venna-2015-Inhibition of glycog	TRUE	TRUE	FALSE
0929789614\Zhou-2015-Crosstalk Between MA	FALSE	FALSE	FALSE
0933709167\Ito-2014-SMTP-7, a new thromb	TRUE	TRUE	FALSE
0938349462\Duan-2015-Striatal astrocytes	FALSE	FALSE	FALSE
0950593167\Wei-2014-Glycogen synthase ki	TRUE	TRUE	FALSE
0953023037\Liu-2015-Gadd45b Mediates Axo	TRUE	TRUE	FALSE
0961739169\Guo-2015-Neuroprotective effe	TRUE	TRUE	FALSE
0972209111\Merali-2015-Longitudinal assessm	TRUE	TRUE	FALSE
0989812460\Kaneda-2014-Efficacy of liposome	FALSE	FALSE	FALSE
0990911175\Lindquist-2014-Spreading depolariza	FALSE	FALSE	FALSE
0997485055\Barios-2016-Long-term dynamics o	FALSE	TRUE	FALSE
0997908816\Liesz-2015-DAMP signaling is a	FALSE	FALSE	FALSE
1001415938\Zille-2014-Influence of pigment	TRUE	TRUE	FALSE
1008960829\Tao-2015-Neuroprotective effe	TRUE	FALSE	FALSE
1009986769\Koh-2014-Estradiol alleviates	TRUE	FALSE	FALSE
1011420277\Hua-2015-The edaravone and 3-	TRUE	TRUE	FALSE
1011788253\Meng-2014-Ectopic expression o	TRUE	TRUE	FALSE
1016358005\Zhang-2014-Preconditioning with	FALSE	FALSE	FALSE
1023619489\Guo-2015-DanHong injection do	TRUE	TRUE	FALSE
1024143325\Lee-2015-Indomethacin precond	FALSE	FALSE	FALSE
1029014784\Zhou-2014-Baicalin attenuates	FALSE	FALSE	FALSE
1038304327\Potey-2015-Early treatment with	TRUE	TRUE	FALSE
1047876795\Kuric-2014-Dynamics of major hi	TRUE	TRUE	FALSE
1053561625\Hein-2013-Levosimendan limits	TRUE	TRUE	FALSE
1063869716\Li-2014-Effect of bone marro	FALSE	FALSE	FALSE
1071865014\Cheyuo-2015-Milk fat globule-EGF	FALSE	TRUE	FALSE
1072714410\Zhao-2015-Regenerative Neuroge	FALSE	FALSE	FALSE
1072880627\Chauhan-2015-Rapamycin ameliorate	TRUE	TRUE	FALSE
1084338727\Zhang-2014-Chrysophanol inhibit	TRUE	TRUE	FALSE
1084966584\Tao-2016-Electro-acupuncture	TRUE	TRUE	FALSE
1092641174\Hafez-2015-Comparative Analysis	TRUE	TRUE	FALSE
1093351462\Esposito-2015-Effects of Postcondi	FALSE	TRUE	FALSE
1094363004\Panahpour-2014-Enalapril attenuates	TRUE	TRUE	FALSE
1096286495\Ansar-2014-Pro-inflammatory med	FALSE	FALSE	FALSE
1103464427\Perez-Alvarez-2015-Estradiol and Proges	TRUE	TRUE	FALSE
1109047841\Cisneros-Mejorado-2015-Blockade of P2X7 rec	FALSE	TRUE	FALSE
1110365676\Wang-2015-Cerebral ischemia in	FALSE	TRUE	FALSE
1111352833\Gheibi-2014-Hydrogen sulfide pro	FALSE	FALSE	FALSE
1115744946\Chechneva-2014-A Smoothened recepto	TRUE	TRUE	FALSE
1128393645\Shichinohe-2015-Neuroprotective effe	TRUE	TRUE	FALSE
1129853034\Wang-2014-Bone marrow stromal	TRUE	FALSE	FALSE
1134282103\Liu-2015-Chloral Hydrate Prec	TRUE	TRUE	FALSE
1152571437\McLeod-2015-Perfusion computed t	FALSE	TRUE	FALSE
1156204653\Wu-2014-Orosomucoid1_ Involv	TRUE	TRUE	FALSE
1158241885\Yamauchi-2015-Therapeutic effects	FALSE	TRUE	FALSE
1177399285\Yunoki-2014-Anti-oxidative nutri	FALSE	FALSE	FALSE
1181969708\Wang-2014-Perioperative aspiri	TRUE	TRUE	FALSE
1185538665\Geng-2015-Ethanol and normobar	TRUE	TRUE	FALSE
1191943549\Chang-2014-Study on acupuncture	FALSE	FALSE	FALSE
1194339834\Rodriguez-Grande-2015-Pentraxin 3 mediates	TRUE	FALSE	FALSE
1194630776\Yamazaki-2015-Activation of cerebr	FALSE	TRUE	FALSE
1195051494\Milner-2014-Cerebral amyloid ang	FALSE	TRUE	FALSE
1203987478\Li-2014-Chlorpromazine confe	FALSE	TRUE	FALSE
1205325421\Posel-2014-Bone marrow cell tra	TRUE	TRUE	FALSE
1207839251\Lee-2015-Progesterone and all	TRUE	TRUE	FALSE
1218189198\Zhang-2014-Convergent and diver	TRUE	TRUE	FALSE
1218749257\Zhang-2016-An Orally Active All	FALSE	TRUE	FALSE
1219190957\Springer-2014-Catabolic signaling	TRUE	TRUE	FALSE
1237291795\Zhou-2013-Propofol protects ag	TRUE	FALSE	FALSE
1246031062\Yoshikawa-2015-Deletion of Atf6alph	FALSE	FALSE	FALSE
1250234101\Kunze-2014-Strain differences i	FALSE	TRUE	FALSE
1253033477\Yan-2014-Endothelin-1-induced	TRUE	TRUE	FALSE
1255003331\Shindo-2016-Astrocyte-Derived Pe	TRUE	TRUE	FALSE
1256403784\Zheng-2015-Pivotal role of cere	TRUE	TRUE	FALSE
1259115517\Wang-2015-Tissue acidosis indu	TRUE	TRUE	FALSE
1262581607\Bauer-2014-Optical imaging of d	TRUE	FALSE	FALSE
1266782837\Bonova-2015-Blood as the carrier	FALSE	TRUE	FALSE
1267111874\Chan-2015-Cystathionine beta-s	FALSE	FALSE	FALSE
1269027020\Clark-2014-Impact of aging on s	FALSE	TRUE	FALSE
1272533516\Chen-2015-Intra-carotid arteri	TRUE	TRUE	FALSE
1278111581\Stokum-2015-Heterogeneity of aqu	TRUE	FALSE	FALSE
1280684332\Belinga-2016-Splenectomy followin	TRUE	TRUE	FALSE
1289146416\Boyko-2015-Effects of Acute Lit	TRUE	TRUE	FALSE
1298679401\Shao-2015-FAM19A3, a novel sec	TRUE	FALSE	FALSE
1298792908\Pang-2014-Ellagic acid-induced	TRUE	TRUE	FALSE
1308037681\Wang-2014-7,8-dihydroxyflavone	TRUE	TRUE	FALSE
1318816830\Cuartero-2014-L-kynurenine_aryl hy	TRUE	TRUE	FALSE
1324300717\Wang-2014-Lycium barbarum poly	TRUE	TRUE	FALSE
1324383976\Zhao-2014-MicroRNA-23a-3p atte	FALSE	TRUE	FALSE
1325412863\Liu-2015-Identification and F	FALSE	TRUE	FALSE
1327387975\Banno-2015-Exacerbated venous t	FALSE	FALSE	FALSE
1327445182\Wu-2015-VEGF attenuated incr	FALSE	TRUE	FALSE
1329825865\Tu-2015-Repetitive ischemic	FALSE	FALSE	FALSE
1352381980\Shi-2015-S-allyl cysteine act	TRUE	TRUE	FALSE
1354906372\Gutierrez-Fernandez-2015-Comparison between x	TRUE	TRUE	FALSE
1357408127\Chen-2014-Tetramethylpyrazine	TRUE	TRUE	FALSE
1361577908\Fu-2015-Nefiracetam Attenuat	FALSE	FALSE	FALSE
1363051557\Zhang-2014-The effects of exerc	TRUE	FALSE	FALSE
1363998668\Ahmad-2014-PGD2 DP1 receptor st	TRUE	TRUE	FALSE
1365591861\Wolf-2014-Evidence for fibrobl	TRUE	TRUE	FALSE
1367263316\Lanzillotta-2013-Targeted acetylation	TRUE	TRUE	FALSE
1376384256\Wei-2015-Phosphorylation of p	TRUE	FALSE	FALSE
1381081726\Wang-2015-CXCR4(+)CD45(-) BMMN	FALSE	TRUE	FALSE
1381417892\Pan-2014-Astrocytic Toll-like	FALSE	TRUE	FALSE
1384173539\Lipsanen-2014-KB-R7943, an inhibit	FALSE	TRUE	FALSE
1389520722\Tran-Dinh-2014-Low levels of low-de	FALSE	TRUE	FALSE
1392052429\Mehta-2015-Long Noncoding RNA F	TRUE	TRUE	FALSE
1397962057\Liesz-2015-Acquired Immunoglobu	FALSE	FALSE	FALSE
1406080629\Zhu-2014-Recombinant T cell r	TRUE	TRUE	FALSE
1414149793\Wang-2014-Effect of hirulog-li	FALSE	TRUE	FALSE
1419715594\Guo-2014-A combination of fou	TRUE	TRUE	FALSE
1420472355\Cheng-2014-Electroacupuncture-l	TRUE	FALSE	FALSE
1424367028\Massensini-2015-Concentration-depend	FALSE	TRUE	FALSE
1425501733\Zhang-2012-Early exercise affec	TRUE	FALSE	FALSE
1431226640\Wei-2015-XingNaoJing, prescri	TRUE	FALSE	FALSE
1451026016\Qu-2014-Identification of di	TRUE	FALSE	FALSE
1452464531\Liu-2014-Curcumin prevents ce	TRUE	FALSE	FALSE
1460058144\Zhang-2015-Pro-GLP-1, a Pro-dru	TRUE	FALSE	FALSE
1462640708\Nada-2014-Heme oxygenase 1-med	FALSE	TRUE	FALSE
1465731008\Dohare-2014-The neuroprotective	TRUE	TRUE	FALSE
1486575716\Shin-2015-Extracellular signal	FALSE	FALSE	FALSE
1487831320\Moraga-2014-Toll-like receptor 4	TRUE	TRUE	FALSE
1488797123\Zhang-2014-(S)-ZJM-289 precondi	TRUE	FALSE	FALSE
1497339266\Ren-2015-Limb remote ischemic	TRUE	TRUE	FALSE
1499692603\Schumacher-2014-Bihemispheric ischem	TRUE	TRUE	TRUE
1508430387\Geng-2015-Reduced cerebral mon	TRUE	FALSE	FALSE
1509827469\Deguchi-2014-Pericyte protection	FALSE	FALSE	FALSE
1512881983\Ansar-2014-Characterization of	FALSE	TRUE	FALSE
1516621966\Li-2015-Magnolol derivative	TRUE	TRUE	FALSE
1518898739\Yang-2016-Conventional protein	FALSE	TRUE	FALSE
1520995406\Ji-2015-Effect of baculoviru	TRUE	FALSE	FALSE
1525475754\Wang-2015-The effect of propof	TRUE	TRUE	FALSE
1532174980\Bian-2015-Hyperbaric oxygen pr	FALSE	TRUE	FALSE
1533586103\Verma-2014-Pair housing reverse	TRUE	TRUE	FALSE
1533623981\Yamauchi-2014-Platelet lysate and	TRUE	TRUE	FALSE
1535384372\Chen-2015-Electro-acupuncture	TRUE	TRUE	FALSE
1538228817\Zhou-2015-Delayed Administrati	TRUE	TRUE	FALSE
1551703180\Kunze-2014-Variation in behavio	FALSE	TRUE	FALSE
1557418415\Gu-2013-Apelin-36, a potent	TRUE	FALSE	FALSE
1559191522\Shin-2014-Endothelial dysfunct	TRUE	TRUE	FALSE
1567396659\Zuo-2014-IMM-H004 prevents to	TRUE	TRUE	FALSE
1579474298\Kawamura-2014-Effects of angiopoie	TRUE	TRUE	FALSE
1587460220\Li-2014-Alterations in the t	TRUE	FALSE	FALSE
1592603043\Zhang-2014-Effects of androgens	TRUE	TRUE	FALSE
1602003737\Jia-2014-Anemonin alleviates	FALSE	TRUE	FALSE
1612386942\Nie-2016-Willed-movement trai	TRUE	TRUE	FALSE
1617503743\Wang-2014-Identification of co	FALSE	FALSE	FALSE
1618887423\Denes-2015-AIM2 and NLRC4 infla	TRUE	TRUE	FALSE
1626500815\Bodhankar-2015-PD-L1 Monoclonal Ant	TRUE	TRUE	FALSE
1628035538\Nunez-Figueredo-2014-A novel multi-target	TRUE	TRUE	FALSE
1648752184\Saleh-2014-Co-administration of	FALSE	TRUE	FALSE
1650192042\Yang-2015-Bone marrow stromal	TRUE	FALSE	FALSE
1654609863\Mishiro-2014-Diabetes mellitus ag	TRUE	TRUE	FALSE
1657101229\Jiang-2015-Investigating microb	FALSE	TRUE	FALSE
1669415134\Oh-2015-Neuroprotective effe	TRUE	FALSE	FALSE
1679829321\Wang-2015-Umbelliferone amelio	TRUE	TRUE	FALSE
1679921409\Yavagal-2014-Efficacy and dose-de	TRUE	TRUE	FALSE
1680535630\Liu-2011-Role of rho kinase i	TRUE	FALSE	FALSE
1682850184\Curcio-2015-Brain ischemia downr	FALSE	FALSE	FALSE
1682964643\Kraft-2015-Efficacy and Safety	TRUE	TRUE	FALSE
1683834582\Huang-2014-Hypertonic saline al	TRUE	FALSE	FALSE
1688091522\Xing-2015-Effect of retinoic a	FALSE	FALSE	FALSE
1696473747\Burrows-2015-Delayed reperfusion	TRUE	TRUE	FALSE
1711902835\Ji-2015-Iptakalim protects a	TRUE	TRUE	FALSE
1715039999\Toyoshima-2015-Intra-Arterial Trans	FALSE	FALSE	FALSE
1717180035\Frechou-2015-Intranasal delivery	TRUE	TRUE	FALSE
1721774451\Park-2014-A new micro-computed	TRUE	TRUE	FALSE
1722598057\Andresen-2016-Evaluation of the Th	TRUE	TRUE	TRUE
1725166598\Wan-2015-Neuroprotection, lea	TRUE	TRUE	FALSE
1739105455\Wang-2014-Puerarin protected t	TRUE	TRUE	FALSE
1742996009\Shichinohe-2015-Bone marrow stromal	FALSE	FALSE	FALSE
1744529421\Won-2015-Recombinant tissue p	TRUE	FALSE	FALSE
1746137324\Zhang-2015-Fractalkine promotes	FALSE	TRUE	FALSE
1746312434\Perez-de-Puig-2015-Neutrophil recruitme	FALSE	TRUE	FALSE
1756025661\Santra-2016-Thymosin beta 4 up-r	TRUE	FALSE	FALSE
1757677244\Zhao-2014-Amelioration of isch	TRUE	TRUE	FALSE
1759546368\Deng-2014-Critical role of mat	TRUE	TRUE	FALSE
1763436408\Liu-2014-Diosmin protects aga	TRUE	TRUE	FALSE
1769272076\Du-2014-Daphnetin, a natural	TRUE	FALSE	FALSE
